Nr;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;StanDost;Wart;OstRez;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
419;130;SQ340;POMPA GŁĘBINOWA SQ 3-40;96510205;.;1.000;;1161007;GRPR01;14244575;1;1000;STE;SCE;03513;
420;130;ERT20RF;TERMOSTAT ERT20RF DOBOWY BEZPRZEWODOWY;ERT20RF;SALUS;1.000;;1141104;QLPS02;14056152;1;1000;SXE;SCE;03513;
421;130;EV220A;UKŁAD RĘCZNEGO OTWIERANIA DO EV220;032U7390;;2.000;;1161202;DACH10;14265271;1;3000;SH2;SHB;03631;
422;130;EFA10;ZŁĄCZKA ŻELIWNA A 3/8";011500000;DO RUR STALOWYCH;10.000;;1161129;GEMA01;14265641;1;1000;STE;SCE;03513;
423;130;EFA20;ZŁĄCZKA ŻELIWNA A 3/4";011500002;DO RUR STALOWYCH;10.000;;1161129;GEMA01;14265641;1;3000;STE;SCE;03513;
424;130;EFA25;ZŁĄCZKA ŻELIWNA A 1";011500003;DO RUR STALOWYCH;10.000;;1161129;GEMA01;14265641;1;4000;STE;SCE;03513;
425;130;EFA32;ZŁĄCZKA ŻELIWNA A 11/4";011500004;DO RUR STALOWYCH;5.000;;1161129;GEMA01;14265641;1;5000;STE;SCE;03513;
426;130;EFI10;ZŁĄCZKA ŻELIWNA I 3/8";011500100;DO RUR STALOWYCH;10.000;;1161129;GEMA01;14265641;1;7000;STE;SCE;03513;
427;130;EFI15;ZŁĄCZKA ŻELIWNA I 1/2";011500101;DO RUR STALOWYCH;4.000;;1161129;GEMA01;14265641;1;8000;STE;SCE;03513;
428;130;EFI20;ZŁĄCZKA ŻELIWNA I 3/4";011500102;DO RUR STALOWYCH;10.000;;1161129;GEMA01;14265641;1;9000;STE;SCE;03513;
429;130;EFI25;ZŁĄCZKA ŻELIWNA I 1";011500103;DO RUR STALOWYCH;5.000;;1161129;GEMA01;14265641;1;10000;STE;SCE;03513;
430;130;EFI32;ZŁĄCZKA ŻELIWNA I 11/4";011500104;DO RUR STALOWYCH;5.000;;1161129;GEMA01;14265641;1;11000;STE;SCE;03513;
431;130;#ORAS2;ORAS BLOKADA WYLEWKI 100ST;159426/10;CENNIK 01.01.2016;86.000;;1160309;OROL01;14182406;1;10000;SXA;SCA;03740;
432;130;TCTT20;TRÓJNIK 20(18) TWORZYWO TECEFLEX;730920;.;50.000;;1160829;TEST01;14232416;1;1000;STE;SCE;03513;
433;130;GEBKFR50S;ZAWÓR SKOŚNY  KFR TYP 1630  DN50 GW;Z1630500S;ANTYSKAŻENIOWY;1.000;;1161129;GEMA01;14266402;1;1000;SXE;SCE;03675;
434;130;AQAZNGN2525N;GŁOWICA NATRYSKU A-QA NEW 250X250MM;644250500;Z PRZEGUBEM KULOWYM CHROM;1.000;;1161130;KLOP01;14258993;1;14000;STE;SCE;03513;
435;130;KASK90110;KOLANO SPALINOWE TURBO 90° 110;810110000;WADEX;1.000;;1140922;WAWR01;14044522;1;1000;STC;SCC;03748;
436;130;TA52265032;REGULATOR RÓŻNICY CIŚNIEŃ STAP DN 32;52265032;20- 80kPA GW;3.000;;1160517;IMOL01;14203406;1;2000;SXE;SCE;03513;
437;130;EMCL90E;ŁĄCZNIK KĄTOWY DO SZYN C-CK-CK P-CS EQ C;587510;L90;25.000;;1161115;ERWR01;14254551;1;2000;STE;SCE;03513;
438;130;TCTT201616;TRÓJNIK REDUKCYJNY 20x16x16 TWORZYWO TEC;730508;EFLEX;50.000;;1160912;TEST01;14238223;1;1000;STE;SCE;03675;
439;130;TCTT202016;TRÓJNIK REDUKCYJNY 20x20x16 TWORZYWO TEC;730511;EFLEX;50.000;;1160912;TEST01;14238223;1;2000;STE;SCE;03675;
440;130;GEBKFR50S;ZAWÓR SKOŚNY  KFR TYP 1630  DN50 GW;Z1630500S;ANTYSKAŻENIOWY;1.000;;1161201;GEMA01;14267159;1;1000;STE;SCE;03675;
441;130;GESIPLPK81SI1;PRZYCISK OMEGA60 3/6L BIAŁY;115081SI1;;2.000;;1160524;GEWA01;14200088;1;3000;SXB;SCB;03332;
442;130;IOZW;ZAMKNIĘCIE WLEWU PALIWA 2" x 21/2";2010053;DLA WLEWU Z USZCZELNIENIEM STOŻKOWYM;1.000;;1161117;OVST01;14261689;1;10000;STE;SCE;03675;
443;130;GEPERE0133;REDUKCJA HDPE CENTRYCZNA 110x 50;367560161;.;5.000;;1150706;GEWA01;14116486;1;1000;SH2;SHA;03630;
444;130;RFZGW4032;ZŁĄCZKA ZACISKANA GW 40x11/4";06011331;MOSIĄDZ TWEETOP;1.000;;1151127;TWSZ01;14156954;1;4000;STE;SCE;03675;
445;130;TCSIP242100;PRZYCISK TCAMBIA  PISUAR  BIAŁY;9242100;TWORZYWO;1.000;;1161202;TEST01;14267567;1;4000;STE;SCE;03513;
446;130;*WADT;ADAPTER TURBO/TRÓJNIK Z DEKLEM 60/100;;DE DIETRICH;1.000;;1161121;WAWR01;14258436;1;2000;SXA;SCA;03826;
447;130;M325100;POMPA CO MAGNA3 25-100 180MM 230V;97924247;PN10 OBIEGOWA;1.000;;1161202;GRPR01;14265745;1;5000;STB;SCB;03740;
448;130;M325100;POMPA CO MAGNA3 25-100 180MM 230V;97924247;PN10 OBIEGOWA;1.000;;1161202;GRPR01;14265745;1;6000;STB;SCB;03740;
449;130;M325100N;POMPA CWU MAGNA3 25-100N 180MM 230V;97924339;PN10 CYRKULACYJNA;1.000;;1161202;GRPR01;14265745;1;7000;STB;SCB;03740;
450;130;GEPEUC40K;UCHWYT DO RUR HDPE 40 1/2";360841002;REGULOWANY;30.000;;1161205;GEWA01;14213551;1;20000;STC;SCC;03510;
451;130;GEPEUC40;UCHWYT DO RUR HDPE 40 M10;360843002;REGULOWANY;70.000;;1160627;GEWA01;14213551;1;21000;STC;SCC;03510;
452;130;GEPEUC56K;UCHWYT DO RUR HDPE 56 1/2";363841002;REGULOWANY;10.000;;1160627;GEWA01;14213551;1;29000;STC;SCC;03510;
453;130;GESIPLPK80KN1;PRZYCISK OMEGA30 3/6L CHROM MAT;115080KN1;PRZYCISKI CHROM MAT UP200;1.000;;1160927;GEWA01;14241074;1;4000;SXC;SCC;03510;
454;130;*ZKCZL;NIVEN LISTWA MAGNETYCZNA;;CENNIK 01.02.2015;1.000;;1150814;SKKO02;14125994;1;3000;STB;SCB;03679;
455;130;*ZKKCZ1L;NIVEN FKPF:ZESTAW MONTAŻOWY;;( MONTAŻ KABINY DO ŚCIANY);1.000;;1150814;SKKO02;14126956;1;1000;STB;SCB;03679;
456;130;GAZDK1NSGZ;DOMOWY DETEKTOR DK-1.NS/GZ 230V;DK1NSGZ;GAZEX;1.000;;1140804;GAWA01;14031960;1;1000;SXE;SCE;03513;
457;130;SOC462100;ZAWÓR ZWROTNY 462 DN100 PN16;149B3754;TMAX=100°C GRZYBKOWY KOŁNIERZOWY   SOCLA;1.000;;1161129;DACH01;14259008;1;51000;STE;SCE;03513;
458;130;URAC100;PRZEPUSTNICA URANIE DN100 PN16;149G010955;TMAX=120°C NAPĘD RECZNY DŹWIGNIOWY SOCLA;5.000;;1161122;DACH01;14259008;1;49000;STE;SCE;03513;
459;130;#REMF;SPRĘŻYNA DO CĘG;061029;;4.000;;1140731;REPR01;14028829;1;1000;SXC;SCC;03675;
460;130;DVREXCONE;REGULATOR POKOJ.EXACONTROL-E MODULACYJNY;0020017839;;2.000;;1160930;VAWA01;14239334;1;5000;STE;SCE;03675;
461;130;#HUAK;NÓŻKI DO BRODZIKA > 1200MM;508063000;CENNIK 2016;1.000;;1140616;HUPO01;14008909;1;20000;TMP;TMP;03534;
462;130;#HWAN;PRZYCISK FUN.DO SPŁUKIWANIA WODY ELEK.;80250030R97;JASNY SZARY;1.000;;1071218;HEAR01;3137152;1;1000;GR4;GR4;03650;
463;130;#TMGR3;TERMA TRADE ADAPTERY CHROM KOMPLET;ADAPTERY KOMPLET CHROM;;1.000;;1080130;TEGD01;3263265;1;3000;TMP;TMP;03513;
464;130;#BRXC;ZAWÓR GAZOWY KOMPLETNY WGB 2N.50;638975;(Grupy rabatowe 42-105);1.000;;1091218;BRRA01;6068078;1;4000;TMP;TMP;03674;
465;130;#BRXC;SILNIK 230V 30S  90ST.;611602;STA 30 B2 230 V;1.000;;1110224;BRRA01;7987376;1;24000;TMP;TMP;03719;
466;130;*DA08N;ECL COMFORT 110 Z PROGRAMEM CZASOWYM-230;;;1.000;;1110803;DACH10;8742171;1;3000;STC;SCC;03515;
467;130;#WADT;RURA WYLOTOWA 110 X 160 X 1000;836160000;CENNIK 01.04.2011;1.000;;1111114;WAWR01;9276097;1;4000;STC;SCC;03515;
468;130;*DA03A;ZŁĄCZKA ZACISK.GW.WEW.G3/4-RURA 16X2 PEX;;;8.000;;1131122;DACH10;11027502;1;4000;STE;SCE;03513;
469;130;*SLAD4;WĄŻ W OPL.NAKR-NAKR. 500MM,1/2x1/2";;.;2.000;;1121107;SCWR01;11273774;1;1000;SXC;SCC;03515;
470;130;GXFIFBN40946;BOLEC KOTWIĄCY FBN II 10/5MM  K;40946;;250.000;;1121213;FIKR01;11458285;1;1000;SXB;SCB;03675;
471;130;#TMGR2;KONSOLA DO GRZEJN.RUCHOMA PROSTA BIAŁA;TMGR2;(4 SZT.);1.000;;1130305;TEGD01;11797447;1;1000;SXE;SCE;03513;
472;130;#VGSO;SYFON CZĘŚĆ ZAMIENNA DO ODWODNIENIA;686376;ADVANTIX VARIO 4965.10;1.000;;1130405;VIWA01;11934451;1;1000;SXC;SCC;03531;
473;130;#BN5;KAPA 28 DO GAZÓW MEDYCZNYCH;MG53010280000;;1.000;;1130919;IBPO02;12709654;1;4000;STA;SCA;03821;
474;130;#BN4;MUFA Z GZ.28*1/2" DO GAZÓW MEDYCZNYCH;MG4243G0280400;;1.000;;1130919;IBPO02;12709654;1;5000;STA;SCA;03821;
475;130;#OSCNA;ZESTAW ZAWOROWY DO INST.DWURUROWEJ;AZ1TP00GG00010A0;KĄTOWY;1.000;;1131114;VNWA01;13135494;1;2000;SXB;SCB;03747;
476;130;*WADT;RURA WYLOTOWA SPAL-POW TURBO 110/16;;WADEX L=1000;1.000;;1131216;WAWR01;13235282;1;6000;SXA;SCA;03821;
477;130;#ZTZ;FILTR SKOŚNY KOŁNIERZOWY FIG 821 DN100;;ŻELIWO SFERO. PN16  CENNIK 804PP;1.000;;1140317;ZEKL01;14000114;1;1000;SH2;SHA;03511;
478;130;BA2760DN40;ZAWÓR ANTYSKAŻENIOWY  BABM DN 40;149B3086;PN10 TMAX=65°C GZ/GZ               SOCLA;1.000;;1140317;DACH01;14000122;1;1000;SH2;SHA;03511;
479;130;*VGSO;MULTIPLEX TRIO 40/50;;MOSIĄDZ/CHROM;1.000;;1081203;VIWA01;4465338;1;2000;STX;STX;03654;
480;130;#BRXC;ODPŁYW KONDENSATU SGB 250;958905;(Grupy rabatowe 42-105);1.000;;1091218;BRRA01;6068078;1;1000;TMP;TMP;03674;
481;130;WADRR120140;REDUKCJA ROZCIĄGANA SPU 120/140 N/K;143120140;WADEX SPALINOWA;1.000;;1100401;WAWR01;6428451;1;1000;TMP;TMP;03740;
482;130;*WADT;USTNIK SPALINOWY IZOL.TURBO  110/150MM;;WADEX;2.000;;1110913;WAWR01;8983386;1;1000;SXE;SCE;03515;
483;130;*WADT;KOLANO SPALINOWE IZOLOWANE TURBO 90°110/;;150MM, WADEX;1.000;;1111214;WAWR01;8983386;1;4000;SXE;SCE;03515;
484;130;RHUL05L0;UCHWYT LUSTRA O GR.6MM 2-CZ. POŁ. LEWY;L1600520;B/LUS.WYM. 600x450MM Z REG. NACH. FUNKTI;1.000;;1120518;GEWA01;10165615;1;13000;STE;SCE;03513;
485;130;*WADT;USTNIK SPALINOWY IZOL.TURBO  110/150MM;;WADEX;2.000;;1121002;WAWR01;10877651;1;1000;SXE;SCE;03740;
486;130;#REH;ZŁĄCZKA PRZEJSCIOWA MX 32-1 1/4 GZ;11393111001;RURY I KSZTAŁTKI;2.000;;1121102;REPR02;11208933;1;12000;STE;SCE;03513;
487;130;DILAK09IMR;POMPA CIEPŁA LAK 9IMR TYPU SPLIT;372920;POWIETRZE/WODA REWERSYJNA;1.000;;1161122;DIPO01;14263870;1;1000;STC;SCC;03510;
488;130;DIPSP050E;ZBIORNIK BUFOROWY PSP 50E;372890;DO ZABUDOWY POD POMPĄ CIEPŁA;1.000;;1161122;DIPO01;14263870;1;2000;STC;SCC;03510;
489;130;DINTC10M;CZUJNIK NTC-10M DO STEROWANIA INSTALACJĄ;363600;SOLARNĄ;1.000;;1161122;DIPO01;14263870;1;3000;STC;SCC;03510;
490;130;DIKWH60;PRZEWÓD GRZEJNY OGRZEWANIA TACY KONDENSA;365270;TU KWH 60;1.000;;1161122;DIPO01;14263870;1;4000;STC;SCC;03510;
491;130;#AFRC;TERMOSTAT BEZPIECZ 90-110 ST C  CE;TG9611133800A;RECZNY RESET;4.000;;1080331;AFCZ01;3453159;1;1000;TMP;TMP;03513;
492;130;*AFRC;ZAW.ANTYL.MAV UNIVERSAL 0,4B 10L/H 3/8";;;2.000;;1090403;AFCZ01;4918424;1;1000;STX;STX;03654;
493;130;#JS21;ZESTAW PRZEZBR.PROPAN ZBS 22/210S-3 MA;87190011540;SOLAR; CENNIK 2010-JUNKERS;1.000;;1110315;BOWA02;8015170;1;2000;SXE;SCE;03515;
494;130;#YYI;TERMOMETR BIMETALICZNY 0-120*C TAR.100MM;;OF.00036515;2.000;;1111020;KUWL02;8957671;1;29000;STE;SCE;03513;
495;130;#YYI;MANOMETR UNIWERSALNYZ KRÓĆCEM TYP 111;;OF.00036515  RADIALNY;2.000;;1111020;KUWL02;8957671;1;30000;STE;SCE;03513;
496;130;#YYI;KUREK MANOMETRYCZNY TRÓJDROG;;OF.00036515;2.000;;1111020;KUWL02;8957671;1;31000;STE;SCE;03513;
497;130;#CPKM;KOLANO Z ŁAPAMI 20 X 3/4";2PH2005;UWAGA-KALK.OD C.ZAKUPU;50.000;;1111208;HEHE01;9496283;1;1000;STX;STX;03674;
498;130;*OV05;ZAWÓR KULOWY OPTIFLEX, MOSIĄDZ, DN 15, 1;1033814;"/2""GW, Z ZAŚLEPKĄ";1.000;;1120301;OVST01;9821051;1;17000;STE;SCE;03513;
499;130;*KLAS;GŁOWICA CERAM. KLUDI DO BATERII 1-UCH.;;CHROM;1.000;;1121120;KLOP01;11350398;1;1000;STX;STX;03335;
500;130;RANGKP10;ZAWÓR RA-N DN10 3/8" PROSTY;013G3902;KRÓTKI TERMOSTATYCZNY GRZEJNKOWY;1.000;;1130627;DACH10;12354241;1;1000;STE;SCE;03513;
501;130;RANGKK10;ZAWÓR RA-N DN10 3/8" KĄTOWY;013G0011;KRÓTKI TERMOSTATYCZNY GRZEJNKOWY;9.000;;1130627;DACH10;12354241;1;2000;STE;SCE;03513;
502;130;#TCSIP;PRZYCISK TECE SQUARE SZKŁO BIAŁE/STAL;9240801;;1.000;;1131113;TEST01;13130485;1;1000;TMP;TMP;03531;
503;130;IDWKP100;ZAWÓR WKP2A DN100 WODA KOŁNIERZOWY;10010040160;KULOWY PEŁNOPRZELOTOWY PN25-40;1.000;;1150601;IDKR01;14106721;1;37000;STE;SCE;03513;
504;130;#YYI;WODOMIERZ AQUARIUS V3 DN.15 W.Z L=110;;Q3=2,5m3/h R100/400;93.000;;1161202;MICI01;14253080;1;3000;STE;SCE;03513;
505;130;#YYI;WODOMIERZ AQUARIUS V3 DN.15 W.Z L=110;;Q3=2,5m3/h R100/400;93.000;;1161202;MICI01;14253080;1;4000;STE;SCE;03513;
506;130;*VVB;BATERIA UMYWALKOWA ZEFIR NEW STOJĄCA;;BEZ/MECH.ZAM. CHROM;134.000;;1161104;VAJO01;14255703;1;1000;STC;SCC;03510;
507;130;GEPEZS04001;ZESTAW UZUPEŁN.TARASOWY LEKKI (DO 150KG);359504001;;16.000;;1160419;GEWA01;14195155;1;3000;STC;SCC;03510;
508;130;GEPEUC40K;UCHWYT DO RUR HDPE 40 1/2";360841002;REGULOWANY;10.000;;1160419;GEWA01;14195155;1;32000;STC;SCC;03510;
509;130;BRPLDWRF13513;REDUKCJA 135-130 DO KOTŁÓW BROTJE;143130135;.;1.000;;1161129;WAWR01;14261689;1;12000;STE;SCE;03675;
