Nr;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;StanDost;Wart;OstRez;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
531;130;#FU1;POŁĄCZENIE KIELICHA RURY KAMIONKOWEJ;KGUSM150K_0020;DN/OD 160 Z USZCZELKĄ;13.000;;1151130;FUPR01;14144095;1;1000;SH2;SHA;03511;
532;130;CPRUA100IC;RURA PEXC/AL/PEXC 16x2.0 100M WIELOW.IZO;100ISO4R16RO;L.6MM CZERWONA  COSMOPEX;100.000;;1160630;HEHE01;14215593;1;1000;STC;SCC;03510;
533;130;CPRUB50IC;RURA PEXC/AL/PEXC 20x2.0 50M  WIELOW.IZO;50ISO4R20RO;L.6MM CZERWONA  COSMOPEX;50.000;;1160630;HEHE01;14215593;1;3000;STC;SCC;03510;
534;130;VARPS920;STELAŻ VARIVIT PISUAR UNIWERSALNY H114.8;532518;B/WSP. DO KPL. Z: DROP, ELEKTR. 925,825;2.000;;1161027;MERH01;14253488;1;7000;STC;SCC;03648;
535;130;ORBITPSN;SPŁUCZKA PISUAROWA PNEUMATYCZNA ORBIT;421133;STAL N.(KOMPLETOWAĆ:VARPS920 LUB SC920P);2.000;;1161027;MERH01;14253488;1;9000;STC;SCC;03648;
536;130;STEELWC2A31SN;PRZYCISK MEPASTEEL 3/6L A31/B31;421397;STAL NIERDZEWNA DO VARIVIT;5.000;;1161027;MERH01;14253488;1;13000;STC;SCC;03648;
537;130;MODOSMAW;DESKA SEDESOWA MODO ANTYBAKTERYJNA;L30112000;WOLNOOPADAJĄCA BIAŁA;1.000;;1161202;GEWA01;14266531;1;6000;STX;STX;03681;
538;130;EGOMWLAR;MISKA WISZĄCA EGO LEJOWA BIAŁA RIMFREE;K13122000;;1.000;;1161202;GEWA01;14266531;1;9000;STX;STX;03681;
539;130;EGOSMWA;DESKA SEDESOWA EGO WOLNOOPADAJĄCA A/C;K10112000;DUROPLAST ZAWIAS STAL;1.000;;1161202;GEWA01;14266531;1;10000;STX;STX;03681;
540;130;EGOBWA;BIDET WISZĄCY EGO Z/O Z/P BIAŁY;K15100000;;1.000;;1161202;GEWA01;14266531;1;11000;STX;STX;03681;
541;130;EGOUM65A;UMYWALKA EGO BY A.CITTERIO 65x54,4 Z/O;K11165000;Z/P BIAŁA;1.000;;1161202;GEWA01;14266531;1;13000;STX;STX;03681;
542;130;#ISCV;SEVA UMYWALKA WPUSZCZANA W BLAT 52X44;W508901;CENNIK 18.01.2016;123.000;;1161114;IDWR01;14247038;1;1000;STC;SCC;03510;
543;130;GRJP5;POMPA JET JP 5 230V G1;46711002;.;25.000;;1161125;GRPR01;14262781;1;1000;STB;SCB;03740;
544;130;OPTIMADSW;DESKA SEDESOWA OPTIMA BIAŁA TWARDA;K90116000;ZAW. METALOWE WOLNOOPADAJĄCA CLICK2CLEAN;1.000;;1161021;GEWA01;14252211;1;1000;STB;SCB;03737;
545;130;HAPPYUM65S;UMYWALKA HAPPY D.2 65x40 Z/O STAWIANA;2317650000;Z/P BIAŁA;1.000;;1161205;DUHO01;14258993;1;18000;STE;SCE;03513;
546;130;#DRCS;DURASTYLE WC WISZĄCE RIMLESS WONDERGLIS;25510900001;54CM;1.000;;1161205;DUHO01;14258993;1;20000;STE;SCE;03513;
547;130;NOVAPIZTSF;ZESTAW PISUAR FELIX Z TERMICZNYM;29009000;SYSTEMEM SPŁUKIWANIA 230V;1.000;;1161125;GEWA01;14262759;1;18000;STC;SCC;03648;
548;130;CN22KVL500520;GRZEJNIK COSMO 22KV 500x 520  (802W);F1G2205005210010;PŁYTOWY LEWY;1.000;;1130628;VNWA01;12322841;1;15000;SXF;SCF;03513;
549;130;AQAZNPK;PRZYŁĄCZE KĄTOWE WĘŻA A-QA DN15;655400500;CHROM;1.000;;1160610;KLOP01;14209713;1;8000;SXB;SCB;03648;
550;130;GEPEKO90160;KOLANO HDPE 90° 160;369088161;;18.000;;1161011;GEWA01;14247268;1;2000;SH2;SHA;03630;
551;130;GEPEZAK110K;ZAŚLEPKA KOMPLETNA HDPE 110MM;367471161;;5.000;;1161011;GEWA01;14247268;1;4000;SH2;SHA;03630;
552;130;NOVAPRODKP;DOLNOPŁUK DO KOMPAKTU NOVA PRO PROSTOKĄT;M34011000;BIAŁY/ CHROM;1.000;;1161102;GEWA01;14254833;1;200;STA;SCA;00001;
553;130;AWAZD25;ZŁĄCZKA DWUKIELICHOWA AWADUKT PP DN250;12478611002;.;2.000;;1161103;REPR02;14255112;1;7000;SXB;SCB;03737;
554;130;WHITEBAW3OBW;BATERIA WANNOWA WHITE 3 OTWOROWA;742990800025;BEZ RĄCZKI NATRYSKOWEJ VIGOUR CHROM;1.000;;1161104;OROL01;14256972;1;3000;STB;SCB;03680;
555;130;TA52151214;ZAWÓR REGULACYJNY STAD DN 15 GW ODW.1/2";52151214;PODPIONOWY Z NASTAWĄ WSTĘPNĄ;73.000;;1161107;IMOL01;14259653;1;1000;SXB;SCB;03740;
556;130;#QQG;ROZDZIELACZ OKRĄGŁY DN80 6BAR;;2*1.1/4"+2*2"+2*2.1/2";2.000;;1160606;SIMI01;14204777;1;1000;STA;SCA;03826;
557;130;#QQG;ROZDZIELACZ OKRĄGŁY DN50 6BAR;;2*3/4"+2*1.1/4"+2*1.1/2";2.000;;1160606;SIMI01;14204777;1;2000;STA;SCA;03826;
558;130;#QQG;KONSOLA ŚCIENNA 220MM;;UWAGA-KALK.OD C.ZAKUPU;8.000;;1160606;SIMI01;14204777;1;3000;STA;SCA;03826;
559;130;TRAFFICSU120BP;! SZAFKA PODUMYWALKOWA TRAFFIC 116x62x45;89439000;BIAŁY POŁYSK (DO UM. TRAFFIC 120 CM);1.000;;1161202;GEWA01;14267238;1;1000;SXE;SCE;03513;
560;130;TRAFFICUM120;! UMYWALKA TRAFFIC 120x48 MEBLOWA Z/O;L91120000;Z/P BIAŁA;1.000;;1161202;GEWA01;14267238;1;2000;SXE;SCE;03513;
561;130;DDSAD212;CZUJNIK CWU AD212;100000030;;1.000;;1160923;DDWR01;14241592;1;6000;STE;SCE;03675;
562;130;DDSAD199;CZUJNIK DLA OBIEGU Z MIESZACZEM AD 199;88017017;;1.000;;1160923;DDWR01;14241592;1;7000;STE;SCE;03675;
563;130;DDOAD249;PŁYTKA+CZUJNIK DLA ZAWORU MIESZ AD249;100013304;;1.000;;1160923;DDWR01;14241592;1;8000;STE;SCE;03675;
564;130;DDOAD254;CZUJNIK POKOJOWY - CDI D AD285;100018924;;1.000;;1160923;DDWR01;14241592;1;9000;STE;SCE;03675;
565;130;DDOHC33;NEUTRALIZATOR SKROPLIN HC 33;85317023;;1.000;;1160923;DDWR01;14241592;1;20000;STE;SCE;03675;
566;130;#LECE1;LUSTRO 780X780 KARTELL SREBRNE;H3863310860001;CENNIK 01.05.2015;1.000;;1141008;ZWGL01;14038801;1;4000;TMP;TMP;03744;
567;130;CIL620COLIBRI;!ZLEWOZMYWAK COLIBRI CIL620 780x43,5 MM;1010294268;WBUDOWYWANY  LEN  2 KOMORY;1.000;;1160615;FRRA01;14211072;1;2000;SXB;SCB;03332;
568;130;GEPEKM110;KOMPENSACJA HDPE 110;367700161;.;4.000;;1161026;GEWA01;14251724;1;1000;STA;SCA;03826;
569;130;GEPEKL77001;KOŁNIERZ WPUSTU DACH.EPDM-RESISTIT;359577001;WODOODPORNY;6.000;;1161026;GEWA01;14251724;1;2000;STA;SCA;03826;
570;130;GEPEWD013;WPUST DACHOWY 100 PE DAF;359013001;.;6.000;;1161026;GEWA01;14251724;1;6000;STA;SCA;03826;
571;130;WADPD200;PŁYTA DACHOWA SPU 200;102200000;WADEX;2.000;;1151217;WAWR01;14159579;1;1000;STA;SCA;03826;
572;130;WADRE130160;REDUKCJA SPALINOWA SPU 130/160  N/K;125130160;WADEX;2.000;;1151217;WAWR01;14159579;1;3000;STA;SCA;03826;
573;130;ZNAWSTB1125;ANEMOSTAT WYWIEWNY STB-1-125 DN125;705512521;DO TVA;6.000;;1161116;ZEWR01;14257376;1;300;STE;SCE;00001;
574;130;ILFOM40N;FILTROODMULNIK FOM BIS DN40 NIERDZEWNY;01443;MAGNETYCZNY PN16 INSTALMET;1.000;;1161130;ISGR01;14265745;1;13000;STB;SCB;03740;
575;130;CONELO25022;CONEL OTULINA 25x 22 1/2"  SZARA 2M;IPTCCC250220;;140.000;;1140723;NMZA01;14029426;1;3000;STA;SCA;03826;
576;130;CONELO30028;CONEL OTULINA 30x 28 3/4"  SZARA 2M;IPTCCC300280;;8.000;;1140723;NMZA01;14029426;1;4000;STA;SCA;03826;
577;130;SPLITWA17090P;WANNA ASYMETRYCZNA SPLIT 170x90 PRAWA;XWA1670000;BIAŁA. Z NOGAMI;1.000;;1161202;GEWA01;14266531;1;15000;STX;STX;03681;
578;130;SPLITOW170P;OBUDOWA WANNY SPLIT 170 PRAWA;PWA1670000;BIAŁA FRONTOWA;1.000;;1161202;GEWA01;14266531;1;17000;STX;STX;03681;
579;130;SPLITOW170B;OBUDOWA WANNY SPLIT 170 BOCZNA;PWA1672000;BIAŁA;1.000;;1161202;GEWA01;14266531;1;18000;STX;STX;03681;
580;130;ULTPSP3ASPC;PARAWAN SPLIT 3-ELEMENTY PRAWY SREBRNY;GPNA12222003R;POŁYSK/SZKŁO CZYSTE DO ASYMETRII;1.000;;1161202;GEWA01;14266531;1;19000;STX;STX;03681;
581;130;*HUKN;1002 4-KĄT DRZWI SUW 100;;H=1900 CHROM ELOXASZKŁO;1.000;;1090302;HUPO01;4782005;1;1000;TMP;TMP;03648;
582;130;#DKKN1;KABINA PRINCESS 4000 5-KĄTNA PROFIL;6PFL10711950SHLA10;SREBRNY MAT SZKŁO CZYSTE;1.000;;1090909;DUBR01;5580864;1;1000;TMP;TMP;03332;
583;130;#HUKN;DRZWI SKRZYDŁOWE REFRESH 900MM DO ŚC.;9P0305092321;BOCZNEJ SZKŁO CZYSTE PROFIL CHROM ELOXAL;1.000;;1120112;HUPO01;9532701;1;1000;TMP;TMP;03332;
584;130;#HUKN;ŚCIANKA BOCZNA DO DRZWI SKRZYDŁOWYCH;9P0713092321;CENNIK 2016;1.000;;1120112;HUPO01;9532701;1;2000;TMP;TMP;03332;
585;130;#HUKN;DRZWI SKRZYDŁOWE ZE STAŁYM SEGMENTEM;9P0606092321;REFRESH 900MM SZKŁO CZYSTE PROFIL CHROM;1.000;;1120112;HUPO01;9532701;1;3000;TMP;TMP;03332;
586;130;*HUKN;ENJOY 4-KĄT DRZWI SKRZ.SEG.WNĘKI 110/L;;H:2000 CHROM KLAR;1.000;;1120802;HUPO01;10636622;1;1000;TMP;TMP;03332;
587;130;DCODEMW1;MISKA WISZĄCA D-CODE BIAŁA LEJOWA;25350900002;.;5.000;;1160607;DUHO01;14207334;1;1000;STE;SCE;03513;
588;130;DCODES;DESKA SEDESOWA D-CODE ZAWIASY STALOWE;0067310000;BIAŁA;3.000;;1160607;DUHO01;14207334;1;2000;STE;SCE;03513;
589;130;#LECE1;TABORET 330X280X465 KARTELL SZARY DYM.;H3893300850001;CENNIK 01.05.2015;1.000;;1140826;ZWGL01;14038801;1;1000;TMP;TMP;03744;
590;130;WAS200;ZESTAW WAS 200 MM PRZYŁĄCZENIOWY, DOPROW;971881;ADZENIA POWIETRZA PRZEZ ŚCIANĘ DO SGB;1.000;;1141003;BRRA01;14045318;1;1000;STE;SCE;03513;
591;130;#BX1C;HYDRANT WEWN.25 WNĘKOWY Z BĘBNEM WĄŻ 20M;.BX1K;KOLOR CZERWONY;SMUKŁY;1.000;;1161201;BOPI01;14265929;1;1000;SXB;SCB;03740;
592;130;PARVAMK02;MISKA KOMPAKTOWA PARVA ODPŁYW POZIOMY;K27002;Z DOLNOPŁUKIEM 3/6L Z DESKĄ WOLNOOP.;1.000;;1151008;CEKI01;14139940;1;1000;STC;SCC;03648;
593;130;AMSTCAU09HRFJW;JEDNOSTKA ŚCIENNA MULTI MSTCAU-09HRFN1;MSTCAU09HRFJW;QCHŁ.2.8KW/QGRZ.2.9KW;1.000;;1151014;AIWA01;14142530;1;1000;STC;SCC;03750;
594;130;#FGXX;GROHE WYLEWKA DO BATERII  150MM;;CENNIK 2016 (01.01.2016);5.000;;1160516;GRHE01;14186978;1;3000;STB;SCB;03648;
595;130;POMDT10060G;NACZYNIE PRZEPONOWE CWU REFIX DT 60;7309000;10BAR / 70°C ZIELONE;1.000;;1161201;REWA01;14265745;1;15000;STB;SCB;03740;
596;130;MYDAYUM60S;UMYWALKA MYDAY 60x40 STAWIANA B/O B/P;245460000;BIAŁA;1.000;;1161121;GEWA01;14256883;1;1000;STB;SCB;03680;
597;130;#DI01;PAKIET PREMIUM SI7TE: POMPA,PODGRZEWACZ;DI01;WWSP229E,ROZDZIELACZ,3 POMPY,GRZAŁKA;2.000;;1160921;DIPO01;14240426;1;1000;STC;SCC;03510;
598;130;#DKKN1;ŚCIANKA BOCZNA DO PRINCESS 4000 5-KĄT;ELO292A10SIL1950;269MM X 1950MM;1.000;;1110224;DUBR01;7987376;1;1000;TMP;TMP;03719;
599;130;ZNREAIR70;JEDNOSTKA REKUPERACYJNA COMFOAIR 70;527005560;;1.000;;1150720;ZEWR01;14119282;1;1000;GR4;GR4;03748;
600;130;#DAI;KLIMATYZATOR FTXB35C/RXB35C;X;MULTI,PACK,VAM CENNIK 2014;1.000;;1151203;DAWA01;14161792;1;1000;SXE;SCE;03513;
601;130;ZNSKRO516;SKRZYNKA ROZDZIELCZA 51/6 6 WYJŚĆ;990322030;COMFOUBE FLAT 51;3.000;;1160928;ZEWR01;14232806;1;100;STE;SCE;00001;
602;130;CNHDVL51120;GRZEJNIK COSMO 20V 500x1120 (1000W);F1G2005011200010;PŁYTOWY HIGIENICZNY LEWY;1.000;;1141009;VNWA01;14043906;1;26000;SXE;SCE;03513;
603;130;*ZKKCZ1L;NIVEN FKDF:USZCZELKA DRZWIOWA PRAWA (90);;;1.000;;1150828;SKKO02;14125994;1;2000;STB;SCB;03679;
604;130;*ZKKCZ1L;NIVEN FDSF:PROFIL PVC NA LISTWĘ;;MAGNETYCZNĄ;1.000;;1150831;SKKO02;14125994;1;4000;STB;SCB;03679;
605;130;#VOCE;SUBWAY DESKA SEDESOWA SLIMSEAT;9M65S101;WOLNOOPADAJĄCA I Z ŁATWYM WYPINANIEM;2.000;;1151117;VBME01;14153696;1;2000;SXC;SCC;03648;
606;130;GFKPP05063;KOŁNIERZ PP Z WKŁADKĄ STALOWĄ D63 DN50;727700211;PN16;1.000;;1160226;FSWA01;14182030;1;62000;SH2;SHA;03630;
607;130;GFKD0639011;KOLANO 90° DŁUGIE DN63  PE100 SDR11;753101011;.;6.000;;1160302;FSWA01;14182030;1;75000;SH2;SHA;03630;
608;130;UCP3RO102;ROZDZIELACZ 1" 2-OBW  Z NYPLAMI MOSIĄDZ;9994022;MP3;1.000;;1160505;UPSO01;14200659;1;2000;SXB;SCB;03737;
609;130;ADVANTIXVAR70;RYNNA ODPŁYWOWA PROSTA ADVANTIX H70;721671;VARIO 300-1200MM POD WYPEŁNIENIE;1.000;;1160805;VIWA01;14223236;1;1000;SXB;SCB;03740;
610;130;UPCKT200AE;TRÓJNIK PVC KANALIZACYJNY 200x110/87°ZEW;21360;.;10.000;;1160920;MALI01;14240224;1;4000;SH2;SHA;03630;
611;130;VAIKKZPF;ZESTAW PODŁĄCZENIOWY DO SYSTEMU FASADOWE;0020042748;GO 80/125MM STAL/PP;1.000;;1150821;VAWA01;14129049;1;3000;STC;SCC;03748;
612;130;VAIKKRPF81;RURA DO SYSTEMU FASADOWEGO 80/125MM 0.5M;0020042755;STAL/PP SKRACALNA;1.000;;1150821;VAWA01;14129049;1;5000;STC;SCC;03748;
613;130;VAIKKRPF82;RURA DO SYSTEMU FASADOWEGO 80/125MM 1.0M;0020042754;STAL/PP;2.000;;1150821;VAWA01;14129049;1;6000;STC;SCC;03748;
614;130;VAIKKKL;KOŁNIERZ USZCZELNIAJĄCY DO PRZEPUSTÓW DA;0020042760;CHOWYCH (SYSTEM FASADOWY);1.000;;1150821;VAWA01;14129049;1;7000;STC;SCC;03748;
615;130;VAIKKUC;UCHWYT ŚCIENNY 50-90MM;0020042751;STAL NIERDZEWNA;1.000;;1150821;VAWA01;14129049;1;8000;STC;SCC;03748;
616;130;SPKK45160;KOLANO SPALINOWE SPAWANE SPUK 45° 160;309160000;WADEX;8.000;;1130813;WAWR01;12577072;1;1000;STE;SCE;03513;
617;130;#PLSA;ZŁĄCZKA SIROPLAST K DN100;PLSA;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;20.000;;1150402;PLWR01;14094068;1;1000;SH2;SHA;03630;
618;130;NBEPPVE30;PODGRZEWACZ ELEKTRYCZNY 30L VIKING;10685;VIKING E30 POJEMNOŚCIOWY;1.000;;1151015;NIBI01;14144595;1;1000;STE;SCE;03678;
619;130;OVGVLDB;GŁOWICA UNI LD 16-28°C ZŁĄCZE RA BIAŁA;1601475;TERMOSTATYCZNA CIECZOWA  BEZ 0;44.000;;1160607;OVST01;14195643;1;1000;STE;SCE;03513;
620;130;#IKA;GRUPA POMPOWA GPS Z REGULATOREM;IKAGRUPA;UWAGA-KALK.OD C.ZAKUPU;1.000;;1161206;SURA01;14269835;1;1000;TMP;TMP;03752;
621;130;DIKEACN6;KURTYNA POWIETRZNA AC 6N 3/6 KW;AC6N;ELEKTRYCZNA 230V;1.000;;1140313;DIPO01;13618538;1;1000;SXC;SCC;03748;
622;130;#ZKCE2;EMANI DESKA WC 57580000;;CENNIK KOLO/KERAMAG 01.04.2016;1.000;;1140407;SKKO02;14000400;1;1000;SXC;SCC;03748;
623;130;AQAZNUN;UCHWYT NATRYSKU ŚCIENNY A-QA;655510500;CHROM;3.000;;1160316;KLOP01;14183378;1;10000;STC;SCC;03648;
624;130;HOMMAGEPP1R1;PÓŁPOSTUMENT DO UMYWALKI HOMMAGE BIAŁY;723300R1;C.PL.;1.000;;1160509;VBME01;14185008;1;6000;SXB;SCB;03648;
625;130;RFZGZ3232;ZŁĄCZKA ZACISKANA GZ 32x11/4";06011233;MOSIĄDZ TWEETOP;4.000;;1160504;TWSZ01;14200810;1;6000;STC;SCC;03510;
626;130;#TRES1;ZESTAW WANNOWY Z PRZYŁĄCZEM PODŁOGOWYM;14219402;SŁUCH. NA OBROT. CHROM;1.000;;1160525;TRLD01;14207291;1;2000;STC;SCC;03510;
627;130;#TRES1;BATERIA WANNOWA CHROM SŁUCH. ANTICAL;132176;WĄŻ W PODWÓJNYM OPLOCIE;1.000;;1160525;TRLD01;14207291;1;3000;STC;SCC;03510;
628;130;AQRM668;BATERIA NATRYSKOWA SAMOZAM. 668;2000065957;B/MIESZ CHROM;3.000;;1160608;AQLD02;14210135;1;1000;SXC;SCC;03510;
629;130;#FLO00;RURA SPALINY/POWIETRZE PROSTA 1M FI80MM;13168;UWAGA-KALK.OD C.ZAKUPU;2.000;;1161010;FLGD01;14243878;1;24000;STE;SCE;03675;
630;130;PREBU3000BZ;BATERIA UMYWALKOWA CZASOWA Z/MIESZ. 3000;68040;CHROM STOJĄCA;6.000;;1161028;EKPL01;14253488;1;3000;STC;SCC;03648;
631;130;PZ;PRZEPUSTNICA ZWROTNA PZ DN250;15057;;1.000;;1161031;FLGD01;14254855;1;3000;STA;SCA;03821;
632;130;#FLO00;PRZEPUSTNICA PZ315;15099;UWAGA-KALK.OD C.ZAKUPU;1.000;;1161031;FLGD01;14254855;1;4000;STA;SCA;03821;
633;130;EH145;ZAWÓR PRZEŁĄCZAJĄCY CO/CWU Z CZUJNIKIEM;100015479;CWU EH145;1.000;;1161125;DDWR01;14264662;1;2000;STC;SCC;03510;
634;130;EH149;ZESTAW POŁĄCZENIOWY POMPA CIEPŁA-PODGRZE;100015468;WACZ CWU EH149;1.000;;1161125;DDWR01;14264662;1;3000;STC;SCC;03510;
635;130;EPDGZW6020;STACJA DOZUJĄCA ESPEDOS GZW60-20;T2DESGZW20GR;;1.000;;1161020;EPPO02;14253037;1;3000;STC;SCC;03510;
636;130;EPUCW300;EPUROCET   W300         25KG;T1CHCWW300;;1.000;;1161020;EPPO02;14253037;1;4000;STC;SCC;03510;
637;130;BIOGROE023PR;KOCIOŁ BIO GRO-ECO 23kW PRAWY RECALART;KOTBIOGRO023PR;NA PALIWO STAŁE;1.000;;1160817;ZMBZ01;14225715;1;1000;SXC;SCC;03510;
638;130;ZKSNUS53;UMYWALKA 53x47CM Z/O B/P;K11053000;STAL NIERDZ. W KPL ODPŁYW Z KORKIEM;6.000;;1161028;GEWA01;14253488;1;2000;STC;SCC;03648;
639;130;ZKSNPT;PISUAR DOPŁYW Z TYŁU Z SYFONEM I WĘŻEM;K16002000;STAL NIERDZ. W KPL SYFON I WĘŻYK ZASIL.;2.000;;1161028;GEWA01;14253488;1;8000;STC;SCC;03648;
640;130;ZKSNMW;MISKA WISZĄCA LEJOWA;K13103000;STAL NIERDZ. W KPL ŚRUBY ANTYKRADZIEŻ.;5.000;;1161028;GEWA01;14253488;1;14000;STC;SCC;03648;
641;130;ZKSNSMCZ;DESKA SEDESOWA TWARDA DUROPLAST;K10115000;CZARNA;5.000;;1161028;GEWA01;14253488;1;15000;STC;SCC;03648;
642;130;#TMGR1;GRZEJNIK ŁAZ.POC 530*500 (336W) BIAŁY;GPOC055BIP300;PODŁĄCZENIE PRAWE 50CM;1.000;;1120914;TEGD01;10967740;1;1000;GR4;GR4;03513;
643;130;REMSC22;SPIRALA DO CZYSZCZENIA RUR 22x4.5M;172200;;2.000;;1150924;REPR01;14137444;1;1000;SH2;SHA;03630;
644;130;#YYI;OSŁONA PVC STEINONORM347 44/20;;UWAGA-KALK.OD C.ZAKUPU;3.000;;1160510;IZCM01;14195640;1;2000;SXE;SCE;03675;
645;130;KASKB9060100;KOLANO SPAL-POW TURBO 90°  60/100;812060001;WADEX MALOWANE BIAŁE;2.000;;1160606;WAWR01;14208337;1;1000;SXC;SCC;03510;
646;130;TURRUB02560100;RURA SPAL-POW TURBO  60/100 L= 250;809060001;WADEX MALOWANA BIAŁA;3.000;;1160606;WAWR01;14208337;1;2000;SXC;SCC;03510;
647;130;TURRUB05060100;RURA SPAL-POW TURBO  60/100 L= 500;808060001;WADEX MALOWANA BIAŁA;1.000;;1160606;WAWR01;14208337;1;3000;SXC;SCC;03510;
648;130;GFLD1252217;ŁUK 22° DŁUGI DN 125 PE100 SDR17;753080815;;1.000;;1160622;FSWA01;14210782;1;5000;SH2;SHA;03630;
649;130;GFLD1253017;ŁUK 30° DŁUGI DN 125 PE100 SDR17;753060815;;1.000;;1160622;FSWA01;14210782;1;6000;SH2;SHA;03630;
650;130;KGBUP30A;P-USZCZELKA DN300 48 kN/m KL.160;PUSZCZELKA 300/160;;4.000;;1161122;KEHA04;14263328;1;2000;SH2;SHA;03630;
651;130;GEMSCKO21659;KOLANO 90° 22x1/2" GW C-STAHL;21659;KRÓTKIE MAPRESS STAL WĘGLOWA;20.000;;1161208;GEWA01;14264686;1;1000;STE;SCE;03675;
652;130;AB14GREY;SUSZARKA DO RĄK AIRBLADE AB14;AB14GREY;V4 1600W WYLOT POW.690 KM/H PC-ABS GREY;1.000;;1161201;AGPR01;14266955;1;7000;SXB;SCB;03648;
653;130;KASPD0110150;PRZEJŚCIE DACHOWE TURBO 0° 100/150 I;841150000;110/150 WADEX;1.000;;1161103;WAWR01;14254273;1;5000;STC;SCC;03510;
654;130;#BX7;ZAWÓR DN 52 AL EN z NASADĄ ALUMINIOWĄ;ZAWÓR DN 52 AL EN Z;UWAGA-KALK.OD C.ZAKUPU;65.000;;1160930;BOPI01;14023791;1;3000;STB;SCB;03740;
655;130;WADCRU050181;RURA DWWK INVEST 180/225 L= 500;3541800007;WADEX SPALINOWA;1.000;;1160920;WAWR01;14225088;1;6000;STE;SCE;03675;
656;130;UCP3ZK20;ZAWÓR KULOWY 1" DO RODZIELACZA MP3;9994000;;4.000;;1160908;UPSO01;14236819;1;4000;STA;SCA;03826;
657;130;SOCY3DN06516;FILTR SIATKOWY Y333 DN 65 PN16;149B3262;TMAX=110°C KOŁNIERZOWY Z ZAŚLEPKĄ  SOCLA;1.000;;1161125;DACH01;14260932;1;4000;STC;SCC;03510;
658;130;EESEDCK3S;! KOMPLET ESSENTIALS CUBE CITY   3 ELEME;40757001;SZCZOTKA. UCHWYT PAPIERU. HACZYK CHROM;2.000;;1161128;GRHE01;14262306;1;1000;SXA;SCA;03826;
659;130;ESSEDCDM;DOZOWNIK MYDŁA ESSENTIALS CUBE Z UCHW.;40756001;SZKŁO/CHROM;2.000;;1161128;GRHE01;14262306;1;2000;SXA;SCA;03826;
660;130;ESSEDCWPR;PÓŁKA NA RĘCZNIKI ESSENTIALS CUBE 558MM;40512001;CHROM;1.000;;1161128;GRHE01;14262306;1;3000;SXA;SCA;03826;
661;130;ESSEDCWP558;WIESZAK PORĘCZOWY ESSENTIALS CUBE 558MM;40509001;CHROM;1.000;;1161128;GRHE01;14262306;1;4000;SXA;SCA;03826;
662;130;VV100A25;ZAWÓR PIERWSZEŃSTWA VV300/VV100 1";VV300VV1001A;GW PN16;1.000;;1161129;HOWA01;14265745;1;32000;STB;SCB;03740;
663;130;#MAKL;ZWĘŻKA KOŁNIERZOWA FFR 80X50 L -11CM;MAKL;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;2.000;;1161129;MALO01;14266402;1;7000;SXE;SCE;03675;
664;130;#MAKL;KRÓCIEC DWUKOŁNIERZOWY DN50/150;MAKL;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;1.000;;1161129;MALO01;14266402;1;8000;SXE;SCE;03675;
665;130;#MAKL;KRÓCIEC DWUKOŁNIERZOWY DN50/300;MAKL;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;1.000;;1161129;MALO01;14266402;1;9000;SXE;SCE;03675;
666;130;MEGA16560AB;POMPA OBIEGOWA 65POe60A/B MEGA1;A06906506001;DO CO;1.000;;1161207;LFLE01;14269018;1;1000;STE;SCE;03675;
667;130;POE2560CM;POMPA CO 25POE60C MEGA 230V PN10;A00802506007;OBIEGOWA ELEKTRONICZNA 1";1.000;;1161207;LFLE01;14269018;1;2000;STE;SCE;03675;
668;130;MEGA150120AB;POMPA OBIEGOWA 50POe120A/B MEGA1;A06905012001;DO CO;2.000;;1161207;LFLE01;14269018;1;3000;STE;SCE;03675;
669;130;#LPG;POMPA PCOw 20/6K;A07102006001;UWAGA-KALK.OD C.ZAKUPU;1.000;;1161207;LFLE01;14269018;1;4000;STE;SCE;03675;
670;130;#BX7;NASADA 75 G2 1/2 PN ALUMINIOWA Z GWINTEM;NASADA 75 2 1/2";WEWNĘTRZNYM;2.000;;1160930;BOPI01;14023791;1;1000;STB;SCB;03740;
671;130;#BX7;POKRYWA NASADY 75 PN ALUMINIOWA;POKRYWA NASADY 75 PN;UWAGA-KALK.OD C.ZAKUPU;1.000;;1160930;BOPI01;14023791;1;2000;STB;SCB;03740;
672;130;#DRAVA;WANNA PAIOVA 1800X1400 PRAWA DO ZABUDOWY;700217000000000;;1.000;;1161205;DUHO01;14265212;1;1000;SXB;SCB;03740;
673;130;DRXXBN105;NOGI DO BRODZIKA DURAVIT;790105000000000;.;1.000;;1161205;DUHO01;14265212;1;2000;SXB;SCB;03740;
674;130;#FGAS1;GROHE KAPSEL DO PRZEŁĄCZNIKA CIŚNIENIOW.;46389000;TARON;1.000;;1161128;GRHE01;14263344;1;1000;STX;STX;03648;
675;130;RMPSTR07622;TRÓJNIK REDUKCYJNY   76.1x22x76.1 STEEL;392076022;STAL WĘGLOWA;2.000;;1160530;RMMA01;14200930;1;25000;STE;SCE;03513;
